Boek.BBnr;freq;Boek.category_music;Boek.type;Boek.title;Boek.author_type;Boek.ISBN_wrong;Boek.category_youth;Boek.ISSN;Boek.language;Boek.EAN;Boek.age;Boek.series_edition;Boek.keywords_youth;Boek.author_lastname;Boek.publisher;Boek.author_firstname;Boek.keywords_libraries;Boek.year_published;Boek.keywords_local;Boek.pages;Boek.category_adults;Boek.SISO;Boek.literarytype;Boek.EAN_wrong;Boek.ISBN;Boek.ISSN_wrong;Boek.SISO_libraries;Boek.AVI;Boek.openvlaccid;Boek.keyword_adults;Boek.ZIZO;Boek.series_title;Boek.keyword_youth;Boek.rank
455725;25032;;Boek;Internetraadpleging of cd-romraadpleging;;;;;Nederlands;;;;;;;;;;;;;;;;;;;;;;;;;1
702724;22759;;Boek;Internetraadpleging;;;;;Nederlands;;;;;;;;;;;;;;;;;;;;;;;;;2
1011230;2513;;Boek;Archiefbeelden Gent;auteur;;;;Nederlands;;;;;Van Bost;Tempus;Frans;;2000-;;;;Oost-Vlaanderen 987.2;non-fictie;;90-76684-04-9;;;;2213990;;GESTAZ;;;3
148245;2347;;Tijdschrift;Burda;;;;0007-6015;Nederlands;4191821405801;;;;;Verlag Aenne Burda;;;s.d.;;;;625.3;;;;;;;1293577;;CBHANA;;;4
524957;2319;;Tijdschrift;101 woonideeën;;;;;Nederlands;8710841851427;;;;;VNU Tijdschriften;;;2000-;;;;627.3;;;;;;;2211022;;WOWIWI;;;5
62192;1948;;Tijdschrift;Psychologie;;;;0167-6598;Nederlands;8710857051620;;;;;Swets en Zeitlinger;;;1982-;;;;410.2;;;;51;;;829710;;PSPSPS;;;6
703195;1887;;Strip;Guust;auteur;;Humor;;Nederlands;;;;;Franquin;Dupuis;;;1997-;;;;;;;;;;;;;;;;7
986314;1877;;Tijdschrift;Test aankoop invest;;;;0773-0756;Nederlands;;;;;;Verbruikersunie Test-Aankoop;;;2009-;;;;345.7;non-fictie;;;;;;7223450;;;;;8
974862;1873;;Boek;Geheime missie;auteur;;Avonturenverhalen;;Nederlands;;vanaf 9 jaar;;;Stilton;Bakermat;Geronimo;;2008;;207 p.;;;fictie;;9789054615774;;;;7040511;;;;Olympische spelen;9
913527;1791;;Tijdschrift;Delicious;;;;;Nederlands;8718972760007;;;;;Sanoma Magazines;;;2006-;;;;629;;;;;;;3059667;;EDEDED;;;10
907840;1786;;CD-ROM;Autorijden van A tot Z : oefen + theorie cd-rom rijbewijs B;auteur;;;;Meertalig;9789068471083;;Versie 2;;Koninckx;New Traffic;Flor;;[2006?];;;;377.2;;;90-6847-108-2;;;;3036762;;VVRIRI;;;11
149608;1747;;Tijdschrift;Vt wonen;;;;;Nederlands;8710841072075;;;;;Medianet;;;s.d.;;;;627.3;;;;;;;829472;;WOWIWI;;;12
181205;1745;;Boek;Guinness world records ...;;;;;Nederlands;;informatief +8 jaar;;Records;;De Fontein;;;1992-;Friedl;;;041;non-fictie;;;;;;1059280;;SSSLWE;;;13
1046761;1687;;Strip;Plankgas en Plastronneke ; Mieleke Melleke Mol;scenario van;;Stripverhalen;;Nederlands;;;;;Urbanus;Standaard;Dirk;;2008-;;;;;fictie;;9789002229398;;;;7293728;;;;;14
880689;1655;;Strip;De grappen van Lambik;auteur;;Stripverhalen;;Nederlands;;;;;Vandersteen;Standaard;Willy;;2004-;;;;;;;;;;;;;;;;15
148521;1611;;Tijdschrift;Test-aankoop magazine;;;;0772-9413;Nederlands;9770772941306;;;;;VU Test-Aankoop;;;1984-;;;;371.9;;;;;;;1068786;;WGCOCO;;;16
660976;1551;;Tijdschrift;Wapiti;;;;;Nederlands;;;;Dieren;;Europese Jeugdbladen Pers;;;s.d.;;;;;;;;;;;74878;;;;;17
149070;1522;;Tijdschrift;Eos magazine;;;;;Nederlands;5413095213562;;;;;Cascade;;;1983-;;;;502;non-fictie;;;64;;;846002;;WTWTWE;;;18
975142;1512;;Boek;Vier muizen in het wilde westen;auteur;;Avonturenverhalen;;Nederlands;;vanaf 9 jaar;;;Stilton;Baeckens Books;Geronimo;;2008;;114 p.;;;fictie;;9789054615798;;;;7064683;;;;Muizen;19
1089036;1483;;Boek;De vliegeraar;auteur;;;;Nederlands;;;63;;Hosseini;De Bezige Bij;Khaled;;2011;Friedl;352 p.;Verfilmde boeken;;fictie;;9789023464044;;;;7924084;Afghaanse migranten ; Verenigde Staten;;;;20
