Boek.BBnr;freq;Boek.category_music;Boek.type;Boek.title;Boek.author_type;Boek.ISBN_wrong;Boek.category_youth;Boek.ISSN;Boek.language;Boek.EAN;Boek.age;Boek.series_edition;Boek.keywords_youth;Boek.author_lastname;Boek.publisher;Boek.author_firstname;Boek.keywords_libraries;Boek.year_published;Boek.keywords_local;Boek.pages;Boek.category_adults;Boek.SISO;Boek.literarytype;Boek.EAN_wrong;Boek.ISBN;Boek.ISSN_wrong;Boek.SISO_libraries;Boek.AVI;Boek.openvlaccid;Boek.keyword_adults;Boek.ZIZO;Boek.series_title;Boek.keyword_youth;Boek.rank
455725;4752;;Boek;Internetraadpleging of cd-romraadpleging;;;;;Nederlands;;;;;;;;;;;;;;;;;;;;;;;;;1
702724;3197;;Boek;Internetraadpleging;;;;;Nederlands;;;;;;;;;;;;;;;;;;;;;;;;;2
524957;574;;Tijdschrift;101 woonideeën;;;;;Nederlands;8710841851427;;;;;VNU Tijdschriften;;;2000-;;;;627.3;;;;;;;2211022;;WOWIWI;;;3
1011230;552;;Boek;Archiefbeelden Gent;auteur;;;;Nederlands;;;;;Van Bost;Tempus;Frans;;2000-;;;;Oost-Vlaanderen 987.2;non-fictie;;90-76684-04-9;;;;2213990;;GESTAZ;;;4
148245;518;;Tijdschrift;Burda;;;;0007-6015;Nederlands;4191821405801;;;;;Verlag Aenne Burda;;;s.d.;;;;625.3;;;;;;;1293577;;CBHANA;;;5
703195;475;;Strip;Guust;auteur;;Humor;;Nederlands;;;;;Franquin;Dupuis;;;1997-;;;;;;;;;;;;;;;;6
62192;464;;Tijdschrift;Psychologie;;;;0167-6598;Nederlands;8710857051620;;;;;Swets en Zeitlinger;;;1982-;;;;410.2;;;;51;;;829710;;PSPSPS;;;7
1046761;449;;Strip;Plankgas en Plastronneke ; Mieleke Melleke Mol;scenario van;;Stripverhalen;;Nederlands;;;;;Urbanus;Standaard;Dirk;;2008-;;;;;fictie;;9789002229398;;;;7293728;;;;;8
149608;447;;Tijdschrift;Vt wonen;;;;;Nederlands;8710841072075;;;;;Medianet;;;s.d.;;;;627.3;;;;;;;829472;;WOWIWI;;;9
907840;411;;CD-ROM;Autorijden van A tot Z : oefen + theorie cd-rom rijbewijs B;auteur;;;;Meertalig;9789068471083;;Versie 2;;Koninckx;New Traffic;Flor;;[2006?];;;;377.2;;;90-6847-108-2;;;;3036762;;VVRIRI;;;10
913527;410;;Tijdschrift;Delicious;;;;;Nederlands;8718972760007;;;;;Sanoma Magazines;;;2006-;;;;629;;;;;;;3059667;;EDEDED;;;11
986314;394;;Tijdschrift;Test aankoop invest;;;;0773-0756;Nederlands;;;;;;Verbruikersunie Test-Aankoop;;;2009-;;;;345.7;non-fictie;;;;;;7223450;;;;;12
148521;392;;Tijdschrift;Test-aankoop magazine;;;;0772-9413;Nederlands;9770772941306;;;;;VU Test-Aankoop;;;1984-;;;;371.9;;;;;;;1068786;;WGCOCO;;;13
998047;381;;DVD-Video;Het huis Anubis;;;Avonturenfilms;;Nederlands;5414233903055;;;;;Studio 100;;;2008;;;;;fictie;;;;;;;;;;Geheimen;14
1089036;380;;Boek;De vliegeraar;auteur;;;;Nederlands;;;63;;Hosseini;De Bezige Bij;Khaled;;2011;Friedl;352 p.;Verfilmde boeken;;fictie;;9789023464044;;;;7924084;Afghaanse migranten ; Verenigde Staten;;;;15
974862;374;;Boek;Geheime missie;auteur;;Avonturenverhalen;;Nederlands;;vanaf 9 jaar;;;Stilton;Bakermat;Geronimo;;2008;;207 p.;;;fictie;;9789054615774;;;;7040511;;;;Olympische spelen;16
1039954;373;;Strip;Wie heeft de Mona Lisa gestolen?;scenario van;;Stripverhalen;;Nederlands;;;1;;Stilton;Bakermat;Geronimo;;2010;;48 p.;;;fictie;;9789054616627;;;;7822481;;;;Leonardo da Vinci;17
